TIMESTAMP,SRC,DST,DIRECTION,IP_TOS,DF,MF,IP_TTL,TCP_SPORT,TCP_DPORT,TCP_SEQ,TCP_ACK,TCP_RESERVED,FPA,FA,A,S,SA,PA,R,RA,TCP_WINDOW,TCP_MSS,TCP_NOP,TCP_WSCALE,TYPE
2023-01-06 12:34:49.156083+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580090,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.156151+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349011543,1533580091,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.156227+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580091,1349011544,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.156294+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580091,1349011544,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.156363+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349011544,1533580309,0,0,0,1,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.156429+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580309,1349011544,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.156503+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349011544,1533580347,0,0,0,1,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.156570+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349011544,1533580347,0,0,0,0,0,0,1,0,0,488,,,,0
2023-01-06 12:34:49.156639+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580347,1349011564,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.156705+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349011564,1533580347,0,0,0,0,0,0,1,0,0,488,,,,0
2023-01-06 12:34:49.156774+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349011884,1533580347,0,1,0,0,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.156837+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580347,1349011884,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.156903+05:30,132326072,17231236,0,0,1,0,63,44578,80,1533580347,1349012103,0,0,1,0,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.156968+05:30,17231236,132326072,1,0,1,0,64,80,44578,1349012103,1533580348,0,0,0,1,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.157034+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445100947,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.157103+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477177537,3445100948,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.157173+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445100948,3477177538,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.157240+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445100948,3477177538,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.157309+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477177538,3445101185,0,0,0,1,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.157375+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477177538,3445101185,0,0,0,0,0,0,1,0,0,488,,,,0
2023-01-06 12:34:49.157472+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445101185,3477177555,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.157554+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477177555,3445101185,0,0,0,0,0,0,1,0,0,488,,,,0
2023-01-06 12:34:49.157626+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445101185,3477177708,0,0,0,1,0,0,0,0,0,490,,,,0
2023-01-06 12:34:49.157692+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477177708,3445101185,0,0,0,0,0,0,1,0,0,488,,,,0
2023-01-06 12:34:49.157762+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477179052,3445101185,0,0,1,0,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.157828+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445101185,3477179052,0,0,0,1,0,0,0,0,0,480,,,,0
2023-01-06 12:34:49.157894+05:30,132326072,17231236,0,0,1,0,63,44584,80,3445101185,3477179053,0,0,1,0,0,0,0,0,0,480,,,,0
2023-01-06 12:34:49.157959+05:30,17231236,132326072,1,0,1,0,64,80,44584,3477179053,3445101186,0,0,0,1,0,0,0,0,0,488,,,,0
2023-01-06 12:34:49.158026+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235292,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.158095+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048045658,1037235293,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.158184+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235293,1048045659,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.158261+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235293,1048045659,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.158333+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048045659,1037235446,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.158399+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048045659,1037235446,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.158470+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235446,1048045676,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.158536+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048045676,1037235446,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.158605+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235446,1048045936,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.158671+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048045936,1037235446,0,0,0,0,0,0,1,0,0,489,,,,0
2023-01-06 12:34:49.158740+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048049635,1037235446,0,0,1,0,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.158804+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235446,1048049635,0,0,0,1,0,0,0,0,0,461,,,,0
2023-01-06 12:34:49.158875+05:30,3725425,17231236,0,0,1,0,63,36622,80,1037235446,1048049636,0,0,1,0,0,0,0,0,0,461,,,,0
2023-01-06 12:34:49.158940+05:30,17231236,3725425,1,0,1,0,64,80,36622,1048049636,1037235447,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.159004+05:30,3725425,17231236,0,0,1,0,63,36634,80,779789217,0,0,0,0,0,1,0,0,0,0,62727,1460.0,,7.0,0
2023-01-06 12:34:49.159072+05:30,17231236,3725425,1,0,1,0,64,80,36634,561182872,779789218,0,0,0,0,0,1,0,0,0,62643,8961.0,,7.0,0
2023-01-06 12:34:49.159141+05:30,3725425,17231236,0,0,1,0,63,36634,80,779789218,561182873,0,0,0,1,0,0,0,0,0,491,,,,0
2023-01-06 12:34:49.159206+05:30,3725425,17231236,0,0,1,0,63,36634,80,779789218,561182873,0,0,0,0,0,0,1,0,0,491,,,,0
2023-01-06 12:34:49.159274+05:30,17231236,3725425,1,0,1,0,64,80,36634,561182873,779789371,0,0,0,1,0,0,0,0,0,489,,,,0
2023-01-06 12:34:49.159339+05:30,17231236,3725425,1,0,1,0,64,80,36634,561182873,779789371,0,0,0,0,0,0,1,0,0,489,,,,0
